Mean Probability,Standard Deviation
0.3119188,0.44111976
0.33596662,0.46797058
0.49198604,0.3500118
0.6605045,0.46705583
0.66191655,0.4680533
0.65892553,0.46594906
0.37643182,0.43969655
0.6330075,0.4477907
0.65847534,0.4656527
0.97877306,0.026241425
0.9784226,0.011099506
0.64457965,0.44251254
0.07826839,0.067075685
0.662487,0.46846563
0.66439366,0.4697973
0.65365654,0.46220812
0.6597197,0.46650392
0.3302937,0.46710584
0.3720437,0.44475842
0.6630245,0.46882915
0.49298477,0.38200453
0.6536135,0.462262
0.6501127,0.4597166
0.77866864,0.29828343
0.7217905,0.3235131
0.6406107,0.45341298
0.64399195,0.45595065
0.31895652,0.43758065
0.61358714,0.4379695
0.61903673,0.43778569
0.76460737,0.23671593
0.33194658,0.46944332
0.37204662,0.2900609
0.33192468,0.4654357
0.98291343,0.0074140867
0.34961197,0.45389146
0.6520534,0.4612786
0.3793833,0.38316536
0.6528754,0.46186775
0.6502448,0.46016628
0.96090966,0.04071542
0.3547152,0.42289665
0.65040535,0.4599361
0.32867363,0.4648147
0.33065793,0.46762088
0.6251466,0.44208696
0.6577428,0.46517444
0.33881888,0.45193264
0.8970289,0.0831081
0.99379855,0.0019861828
0.34849522,0.45593297
0.43882832,0.34104252
0.6386569,0.45256165
0.6031187,0.428764
0.6551588,0.46326727
0.66228956,0.46832427
0.61110693,0.4358273
0.6606727,0.46716672
0.6348631,0.44891614
0.64218444,0.4544021
0.6586891,0.4657705
0.65690875,0.4645282
0.6624058,0.46839184
0.41046724,0.4212525
0.6569424,0.46464518
0.16487698,0.23317125
0.8362162,0.053548243
0.6460923,0.4568714
0.9677999,0.025304196
0.33257887,0.4703375
0.31871316,0.45072842
0.625861,0.44448495
0.33026978,0.46707195
0.56209666,0.41650763
0.32627982,0.46142936
0.66092473,0.46734545
0.33515346,0.46099496
0.576374,0.41841057
0.33077833,0.46779123
0.98273736,0.017179709
0.00823811,0.011650448
0.47727248,0.4072631
0.6555016,0.46361625
0.64840585,0.45876014
0.65795237,0.46533468
0.8172439,0.19860972
0.6621766,0.46134472
0.66081876,0.46727872
0.66361684,0.46924794
0.9356463,0.08208783
0.52416426,0.38289872
0.6304844,0.4467839
0.65852934,0.46568957
0.14731613,0.20833647
0.32938275,0.46581757
0.66104484,0.46743873
0.6446112,0.45627743
0.63631636,0.44994986
0.6378639,0.45150608
0.662939,0.4687755
0.66198134,0.4681171
0.2791004,0.30370477
0.6392017,0.45201355
0.663384,0.46908996
0.66233665,0.46834546
0.34191284,0.4547721
0.33830965,0.4654024
0.64505804,0.4561882
0.24070548,0.34040895
0.6543959,0.46274316
0.95772225,0.051086053
0.8316497,0.19711456
0.6490042,0.45908737
0.66126573,0.467597
0.94896096,0.029605083
0.9323321,0.049306888
0.61223096,0.43762013
0.3321716,0.4697616
0.076948866,0.095072456
0.9810717,0.010392158
0.66088337,0.46731943
0.32855266,0.46464363
0.311932,0.4156917
0.99178594,0.0048230747
0.6751811,0.44849184
0.657561,0.46499637
0.63642174,0.45033073
0.63096374,0.44621813
0.6238672,0.44272813
0.4580945,0.41062677
0.66478586,0.47007462
0.6491867,0.459262
0.65034676,0.46007812
0.625979,0.44280466
0.9707294,0.019055385
0.66263527,0.4685649
0.38011384,0.43510488
0.65682364,0.46456057
0.95969135,0.050145745
0.44041896,0.4014525
0.68064094,0.43722984
0.95619226,0.00729187
0.5213607,0.39964002
0.63904864,0.45285174
0.4148077,0.3853328
0.66269493,0.46859607
0.6584385,0.46558693
0.65732497,0.46479976
0.33855355,0.46704376
0.6390652,0.45279434
0.66157025,0.46780345
0.6323825,0.44729373
0.6595791,0.46641648
0.653574,0.46234924
0.6386523,0.45247117
0.33158827,0.46893662
0.6437361,0.455646
0.63652986,0.45012674
0.3323821,0.47005928
0.991136,0.0021812674
0.65869015,0.46580175
0.63544184,0.45042312
0.6433483,0.45516595
0.63155514,0.4477422
0.6594611,0.46631595
0.30341232,0.42131636
0.33149397,0.4688033
0.4470972,0.41393113
0.6416978,0.45456716
0.6745917,0.41113397
0.64712685,0.4577778
0.6557999,0.463823
0.658928,0.46599656
0.6208412,0.43917105
0.66264707,0.4685638
0.6494009,0.45944697
0.32568964,0.42184576
0.6630953,0.46888015
0.6407416,0.4536974
0.5761195,0.42183006
0.7338789,0.30591688
0.34650764,0.4595851
0.6640783,0.4510889
0.651794,0.46104935
0.6563036,0.46408263
0.6609567,0.46737602
0.59693295,0.42566055
0.65527946,0.46350577
0.65759027,0.46506923
